pica_p	pica_p_uf	marc21
044C	$l	600/610/611/630/647/648/651/655 $l
044C	$m	600/610/611/630/647/648/651/655 $m
044C	$n	600/610/611/630/647/648/651/655 $n
044C	$o	600/610/611/630/647/648/651/655 $o
044C	$p	600/610/611/630/647/648/651/655 $p
044C	$q	600/610/611/630/647/648/651/655 $q
044C	$r	600/610/611/630/647/648/651/655 $r
044C	$s	600/610/611/630/647/648/651/655 $s
044C	$t	600/610/611/630/647/648/651/655 $t
044C	$u	600/610/611/630/647/648/651/655 $u
044C	$v	600/610/611/630/647/648/651/655 $v
044C	$x	600/610/611/630/647/648/651/655 $x
044C	$y	600/610/611/630/647/648/651/655 $y
044C	$z	600/610/611/630/647/648/651/655 $z
028E	$T	880 $6
028E	$U	880 $6
028E	$P	700 $a
028E	$a	700 $a
028E	$d	700 $a
028E	$c	700 $a
028E	$l	700 $c
028E	$n	700 $b
028E	$h	700 $d
028E	$9	700 $0(DE-627)
028E	$7	700 $0(DE-588)
028E	$B	700 $e
006N	$0	024 $a $2swets
007P	$T	880 $6
007P	$U	880 $6
007P	$S	026 $2
007P	$0	026 $e
007P	$A	026 $5
013G	$2	655 $2gnd-carrier
045Q/01	$9	936 $0(DE-627)
045Q/01	$a	084 $a $2bkl936 $a
045Q/01	$A	936 $q
047I	$T	880 $6
047I	$U	880 $6
047I	$a	520 $a
039B	$T	880 $6
039B	$U	880 $6
039B	$i	772 $i, wenn $iSupplement zu773 $i, wenn $i nicht Supplement zu
039B	$7	773 $w(DE-600)
039B	$9	773 $w(DE-627)
039B	$a	773 $a
039B	$l	773 $a
039B	$t	773 $t
039B	$g	773 $b
039B	$d	773 $d
039B	$e	773 $d
039B	$f	773 $d
039B	$p	773 $g
039B	$h	773 $h
039B	$C	773 $w(Sigel)
039B	$6	773 $o $w $x $z
039C	$T	880 $6
039C	$U	880 $6
039C	$i	770 $i
039C	$n	770 $n
039C	$7	770 $w(DE-600)
039C	$9	770 $w(DE-627)
039C	$a	770 $a
039C	$l	770 $a
039C	$t	770 $t
039C	$g	770 $b
039C	$d	770 $d
039C	$e	770 $d
039C	$f	770 $d
039C	$p	770 $g
039C	$h	770 $h
039C	$C	770 $w(Sigel)
039C	$6	770 $o $w $x $z
039D	$T	880 $6
039D	$U	880 $6
039D	$i	776 $i
039D	$n	776 $n
039D	$9	776 $w(DE-627)
039D	$a	776 $a
039D	$l	776 $a
039D	$t	776 $t
039D	$g	776 $b
039D	$d	776 $d
039D	$e	776 $d
039D	$f	776 $d
039D	$p	776 $g
039D	$h	776 $h
039D	$C	776 $w(Sigel)
039D	$6	776 $o $w $x $z
028G	$T	880 $6
028G	$U	880 $6
028G	$P	700 $a
028G	$a	700 $a
028G	$d	700 $a
028G	$c	700 $a
028G	$n	700 $b
028G	$l	700 $c
028G	$h	700 $d
028G	$9	700 $0(DE-627)
028G	$7	700 $0(DE-588)
028G	$B	700 $e
028G	$4	700 $4
039E	$T	880 $6
039E	$U	880 $6
039E	$i	780785787 $i
039E	$7	787 $2(DE-600)
039E	$9	787 $w(DE-627)
039E	$a	787 $a
039E	$l	787 $a
039E	$t	787 $t
039E	$g	787 $b
039E	$d	787 $d
039E	$e	787 $d
039E	$f	787 $d
039E	$p	787 $g
039E	$h	787 $h
039E	$C	787 $w(Sigel)
039E	$6	787 $o $w $x $z
092B	$5	561 $5
092B	$2	561 $3 mit Vortext "Exemplarsatz-ID:_"
092B	$3	561 $3 mit Vortext "Signatur:_"
092B	$S	561 $a
092B	$a	561 $a
092B	$9	561 $a
092B	$8	561 $a
092B	$b	561 $a
092B	$c	561 $a
